Table No.18 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING MARCH, 2015",,,,,,,,
130,MEDREICH LTD,Netherlands,MEIJI SEIKA EUROPE BV,REGION NOT INDICATED,PHARMA FOR,0.00,0.00,
131,TPG SOFTWARE PVT LTD,U.S.A,3PILLAR HOLDINGS LLC,REGION NOT INDICATED,SOFTWARE D,2.33,0.04,
132,RESOUNCE EXPERT INDIA PVT LTD,Netherlands,UBER INTERNATIONAL SERVICES HOLDING BV,REGION NOT INDICATED,EMPLOYMENT,0.10,0.00,
133,CORE WELLNESS LTD,UAE,MITASU TRADING AND CONSULTANCY CO LTD,REGION NOT INDICATED,WELLNESS A,6.11,0.10,
134,BILL FORGE PVT LTD,Mauritius,AINOS HOLDINGS LTD,REGION NOT INDICATED,MANUFACTUR,99.58,1.59,
135,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,"REGION NOT
INDICATED",MANUFACTUR,9.55,0.15,
136,MEDREICH LTD,Japan,MEIJI SEIKA PHARMA CO LTD,REGION NOT INDICATED,PHARMA FOR,0.00,0.00,
137,TPG SOFTWARE PVT LTD,U.S.A,3PILLAR HOLDINGS LLC,REGION NOT INDICATED,SOFTWARE D,3.73,0.06,
138,CORE WELLNESS LTD,UAE,SOHUM WELLNESS DWC LLC,REGION NOT,WELLNESS A,9.55,0.15,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,INDICATED,,,,
139,BILL FORGE PVT LTD,Mauritius,AINOS HOLDINGS LTD,REGION NOT INDICATED,MANUFACTUR,217.54,3.48,
140,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,9.55,0.15,
141,MEDREICH LIFE CARE LTD,Netherlands,MEIJI SEIKA EUROPE BV,"REGION NOT
INDICATED",MARKETING,0.08,0.00,
142,VALTITUDE TECHNOLOGIES INDIA PVT LTD,U.S.A,DEMAND PLANNING LLC,REGION NOT INDICATED,BUSINESS A,0.04,0.00,
143,MEDREICH LTD,Japan,MEIJI SEIKA PHARMA CO LTD,REGION NOT INDICATED,PHARMA FOR,0.01,0.00,
144,TPG SOFTWARE PVT LTD,U.S.A,3PILLAR HOLDINGS LLC,REGION NOT INDICATED,SOFTWARE D,50.67,0.81,
145,CONTINENTAL BPO SERVICES PVT LTD,U.S.A,MR PADMINI KANTILAL KATHARANI,REGION NOT INDICATED,MANPOWER P,0.05,0.00,
146,LIKE MINDS SOFTWARE INDIA PVT LTD,U.S.A,LIKE MINDS CONSULTING INC,REGION NOT INDICATED,COMPUTER C,0.39,0.01,
147,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,5.73,0.09,
148,KOLET RESORT CLUB PVT LTD,UAE,COUNTRY VACATIONS INTERNATIONAL LTD,REGION NOT INDICATED,HOTELS AND,5.05,0.08,
149,ADCOCK INGRAM LTD,Japan,MEIJI SEIKA PHARMA CO LTD,REGION NOT INDICATED,MANUFACTUR,0.00,0.00,
150,TPG SOFTWARE PVT LTD,U.S.A,3PILLAR HOLDINGS LLC,"REGION NOT
INDICATED",SOFTWARE D,25.05,0.40,
151,PARABLU SYSTEMS PVT LTD,U.S.A,PARABLU INC,REGION NOT INDICATED,COMPUTER C,0.10,0.00,
152,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,"REGION
NOT INDICATED",MANUFACTUR,7.64,0.12,
153,MEDREICH LIFE CARE LTD,Indonesia,"PT MEIJI INDONESIAN PHARMACEUTICAL
INDUS",REGION NOT INDICATED,MARKETING,0.08,0.00,
154,CODIGAMI LABS PVT LTD,U.S.A,CODIGAMI INC,REGION NOT INDICATED,SOFTWARE DEVLOPMENT,0.02,0.00,
