Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
117,International Port Terminals(I) Pvt Ltd,Singapore,ASIA PACIFIC PORT HOLDING PTE LTD,REGION NOT INDICATED,Cargo handling incidental to water transport,0.00,0.00,
118,Tikona Infinet Private Limited,Mauritius,"International Finance Corporation,Maurit","REGION NOT
INDICATED",Activities of Internet access by the operator of the wireless infrastructure,0.54,0.01,
119,ESSAR POWER LTD,Mauritius,ESSAR POWER HOLDINGS LTD - MAURITIUS,REGION NOT INDICATED,"Electric power generation by non-coal based thermal (e.g. diesel, gas )","6,404.58",98.41,
120,3D Technopack,Switzerland,"Hoffmann Neopac Ag,",REGION,Manufacture of plastic articles for the,0.28,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,Private Limited,,Switzerland,NOT INDICATED,"packing of goods (plastic bags, sacks, containers, boxes, cases, carboys,
bottles etc.)",,,
121,Xerox India Limited,Netherlands,"Xerox Investments Europe B V, Netherland",REGION NOT INDICATED,"Wholesale of office machinery and equipment, except computers and computer peripheral equipment",0.33,0.01,
122,ESSAR POWER LTD,Mauritius,"ESSAR POWER HOLDING LTD
- MAURITIUS","REGION NOT
INDICATED","Electric power generation by non-coal based thermal (e.g. diesel, gas )","6,398.76",98.32,
123,3D Technopack Private Limited,Switzerland,"Hoffmann Neopac Ag, Switzerland",REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",1.71,0.03,
124,Xerox India Limited,Netherlands,"Xerox Investments Europe B V, Netherland","REGION NOT
INDICATED","Wholesale of office machinery and equipment, except computers and
computer peripheral equipment",5.13,0.08,
125,Sj Tapes & Converting Private Limited,South Korea,"Kwang Rae Cho, South Korea",REGION NOT INDICATED,"Manufacture of bare printed circuit boards, loading of components onto printed circuit boards; manufacture of interface cards (e.g. sound, video, controllers, network, modems)",0.10,0.00,
126,LISAM SYSTEMS INDIA PVT LTD,Belgium,"MICHEL HEMBERG, BELGIUM","REGION
NOT INDICATED",Computer consultancy and computer facilities management activities,0.15,0.00,
127,"WOODSTOCK AMBIENCE PRIVATE LIMITED, PLOT",Singapore,"STONEBRIDGE 2017 (SINGAPORE) PTE LTD, 1",REGION NOT INDICATED,Worker hostels and boarding houses,3.25,0.05,
128,ADANI PORTS AND SPECIAL ECONOMIC ZONE LT,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Cargo handling incidental to water transport,306.76,4.71,
129,ADANI POWER LTD,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Electric power generation by coal based thermal power plants,70.95,1.09,
130,ADANI POWER LTD,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Electric power generation by coal based thermal power plants,75.76,1.16,
131,M.R.L Posnet Private Ltd.,Singapore,Worldline IT and Payment Services (Singa,"REGION NOT
INDICATED",Activities auxiliary to financial service activities n.e.c.,494.18,7.59,
132,CHEMSPEC INDIA EXPO PRIVATE LIMITED,United Kingdom,MACK BROOKS EXHIBITIONS LIMITED,REGION NOT INDICATED,Organization of conventions and trade shows,0.25,0.00,
133,"PERSTROP
CHEMICALS INDIA PRIVATE LIMITED",Netherlands,PERSTROP SPECIALTY CHEMICALS HOLDING BV,"REGION
NOT INDICATED",Manufacture of organic and inorganic chemical compounds n.e.c.,74.44,1.14,
134,M/S.Qps Bioserve India Pvt Ltd,Netherlands,"M/S. Xdd Acquisition B.V., Netherlands",REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,13.59,0.21,
135,Mn Bio-Technology Private Limited,Singapore,Lc Cerestra Core Opportunities Fund Pte,"REGION NOT
INDICATED",Other civil engineering projects n.e.c.,0.10,0.00,
136,SMARTPIPE SOLUTIONS INDIA PRIVATE LIMITE,United Kingdom,SMARTPIPE HOLDINGS LIMITED(UNITED KINGDO,REGION NOT INDICATED,"Other data processing, hosting and related activities n.e.c.",0.00,0.00,
137,Nucetech Security,HongKong,Nuctech Hongkong,REGION,Security systems service activities,0.05,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,Solutions Private Limi,,Company Limited,NOT INDICATED,,,,
